geneid,GOid
Tatro_010537-T1,GO:0006886;GO:0008270;GO:0006888;GO:0030127
Tatro_001794-T1,GO:0016491;GO:0046416;GO:0071949;GO:0055114;GO:0003884
Tatro_000152-T1,GO:0005515
Tatro_008468-T1,GO:0006561;GO:0016620;GO:0016491;GO:0055114;GO:0008152;GO:0004350;GO:0050661
Tatro_005576-T1,GO:0006633;GO:0003824;GO:0016747;GO:0008152
Tatro_007754-T1,GO:0005515;GO:0006629;GO:0007165;GO:0035556;GO:0004435;GO:0008081
Tatro_010700-T1,GO:0005783;GO:0045454;GO:0016853
Tatro_008332-T1,GO:0005515
Tatro_006671-T1,GO:0022891;GO:0055085;GO:0016020;GO:0022857;GO:0005215;GO:0016021
Tatro_011305-T1,GO:0006432;GO:0000287;GO:0004826;GO:0005524;GO:0005737;GO:0003723;GO:0000166
Tatro_003483-T1,GO:0016651;GO:0055114;GO:0008137
Tatro_001811-T1,GO:0035091
Tatro_001012-T1,GO:0000981;GO:0005634;GO:0006355;GO:0008270
Tatro_011394-T1,GO:0022891;GO:0055085;GO:0016020;GO:0022857;GO:0005215;GO:0016021
Tatro_001824-T1,GO:0008757
Tatro_010999-T1,GO:0004163;GO:0019287;GO:0016831;GO:0005524;GO:0008299;GO:0005829
Tatro_011278-T1,GO:0003824;GO:0005515;GO:0009116
Tatro_007461-T1,GO:0005515
Tatro_009000-T1,GO:0003824
Tatro_000055-T1,GO:0015986;GO:0000276;GO:0015078
Tatro_002015-T1,GO:0006904;GO:0016192
Tatro_004598-T1,GO:0005525
Tatro_009968-T1,GO:0005840
Tatro_000066-T1,GO:0009450;GO:0016620;GO:0016491;GO:0055114;GO:0008152;GO:0009013
Tatro_001356-T1,GO:0003824;GO:0008152
Tatro_007032-T1,GO:0006886;GO:0016020;GO:0006605;GO:0015450;GO:0015031
Tatro_004702-T1,GO:0005634;GO:0006355;GO:0008270;GO:0000981
Tatro_003693-T1,GO:0003824;GO:0008496;GO:0016052
Tatro_011946-T1,GO:0030248;GO:0005975;GO:0004553;GO:0005576
Tatro_006138-T1,GO:0003677;GO:0006351;GO:0005634;GO:0006355;GO:0008270;GO:0000981
Tatro_002533-T1,GO:0003677;GO:0006351;GO:0005634;GO:0006355;GO:0008270;GO:0000981
Tatro_009177-T1,GO:0005515
Tatro_001243-T1,GO:0005515
Tatro_001355-T1,GO:0004553;GO:0005975
Tatro_000248-T1,GO:0005515
Tatro_010753-T1,GO:0005488
Tatro_004362-T1,GO:0003677;GO:0006351;GO:0005634;GO:0008270
Tatro_006050-T1,GO:0005515;GO:0032040;GO:0006364
Tatro_001231-T1,GO:0016272;GO:0006457;GO:0051082
Tatro_007672-T1,GO:0031177;GO:0016740;GO:0003824;GO:0008152
Tatro_002342-T1,GO:0005515
Tatro_002869-T1,GO:0046982;GO:0003677;GO:0005634;GO:0000786
Tatro_000799-T1,GO:0005515
Tatro_005495-T1,GO:0046872;GO:0003824;GO:0005524;GO:0004075
Tatro_000541-T1,GO:0006468;GO:0004672;GO:0005524
Tatro_007299-T1,GO:0016021;GO:0055085
Tatro_010850-T1,GO:0003677;GO:0006351;GO:0005634;GO:0006355;GO:0008270;GO:0000981
Tatro_011955-T1,GO:0003824;GO:0033961
Tatro_009104-T1,GO:0005515;GO:0005488;GO:0003723
Tatro_006966-T1,GO:0008608;GO:0005876;GO:0042729
Tatro_002579-T1,GO:0005515
Tatro_003961-T1,GO:0004747;GO:0006014
Tatro_002382-T1,GO:0005515
Tatro_010257-T1,GO:0005515;GO:0051087
Tatro_010291-T1,GO:0004620;GO:0008152;GO:0009395
Tatro_001627-T1,GO:0016021;GO:0055085
Tatro_011888-T1,GO:0016491;GO:0008152
Tatro_007242-T1,GO:0006744;GO:0010181;GO:0016831;GO:0016491;GO:0055114;GO:0005886
Tatro_005143-T1,GO:0005524;GO:0003676
Tatro_001479-T1,GO:0020037
Tatro_010438-T1,GO:0005515
Tatro_009794-T1,GO:0005515;GO:0006396;GO:0005622
Tatro_005658-T1,GO:0016887;GO:0005524
Tatro_001332-T1,GO:0005515;GO:0004842
Tatro_006502-T1,GO:0003824;GO:0008152
Tatro_004675-T1,GO:0006351;GO:0005634;GO:0003677;GO:0008270
Tatro_006148-T1,GO:0003677;GO:0006351;GO:0005634;GO:0006355;GO:0008270;GO:0000981
Tatro_007666-T1,GO:0031177;GO:0016740;GO:0003824;GO:0009058;GO:0016788;GO:0008152
Tatro_004487-T1,GO:0000981;GO:0005634;GO:0006355;GO:0008270
Tatro_007590-T1,GO:0019239
Tatro_006494-T1,GO:0005506;GO:0020037;GO:0016705;GO:0055114
Tatro_009736-T1,GO:0008270;GO:0003676
Tatro_011915-T1,GO:0006099;GO:0006101;GO:0004108;GO:0046912
Tatro_004828-T1,GO:0006508;GO:0004252
Tatro_000078-T1,GO:0005515
Tatro_003249-T1,GO:0016773;GO:0005975
Tatro_002023-T1,GO:0005634;GO:0006355
Tatro_000989-T1,GO:0005515
Tatro_008161-T1,GO:0015934;GO:0006412;GO:0003735;GO:0003723
Tatro_008945-T1,GO:0055114;GO:0016491
Tatro_007782-T1,GO:0006430;GO:0003676;GO:0004824;GO:0006418;GO:0005524;GO:0004812;GO:0005737;GO:0000166
Tatro_004761-T1,GO:0016021;GO:0055085
Tatro_007971-T1,GO:0003677
Tatro_005436-T1,GO:0003824;GO:0016810;GO:0005975
Tatro_001453-T1,GO:0008652;GO:0016620;GO:0006531;GO:0006520;GO:0046983;GO:0009088;GO:0009086;GO:0009089;GO:0051287;GO:0055114;GO:0009097;GO:0003942;GO:0005737;GO:0050661;GO:0004073
Tatro_000085-T1,GO:0046982;GO:0006352
Tatro_011273-T1,GO:0005634;GO:0006355;GO:0008270;GO:0000981
Tatro_000943-T1,GO:0016787
Tatro_006940-T1,GO:0003824
Tatro_003425-T1,GO:0005509;GO:0055114;GO:0016491
Tatro_001201-T1,GO:0003824;GO:0005515;GO:0009116
Tatro_006832-T1,GO:0005634;GO:0006355;GO:0008270;GO:0000981
Tatro_005165-T1,GO:0005622;GO:0042254
Tatro_000942-T1,GO:0016579;GO:0036459;GO:0006511
Tatro_007927-T1,GO:0004674;GO:0005515;GO:0007165;GO:0035556;GO:0004672;GO:0006468;GO:0005524
Tatro_007784-T1,GO:0006099;GO:0000287;GO:0051287;GO:0055114;GO:0004449;GO:0016616
Tatro_008392-T1,GO:0005515;GO:0008152;GO:0004364;GO:0005737
Tatro_006628-T1,GO:0003824;GO:0008484;GO:0008152
Tatro_001625-T1,GO:0008080
Tatro_006678-T1,GO:0055114;GO:0016491
Tatro_009718-T1,GO:0006629;GO:0008081
Tatro_011360-T1,GO:0005515
Tatro_000963-T1,GO:0046872
Tatro_000631-T1,GO:0003755;GO:0006457;GO:0000413
Tatro_007278-T1,GO:0030248;GO:0005975;GO:0004553;GO:0005576
Tatro_006819-T1,GO:0005515;GO:0034968;GO:0003677;GO:0006351;GO:0018024;GO:0005634;GO:0006355;GO:0046975;GO:0005694;GO:0006354;GO:0010452
Tatro_004558-T1,GO:0055114;GO:0016491
Tatro_011834-T1,GO:0016829
Tatro_007881-T1,GO:0006904;GO:0016192
Tatro_002894-T1,GO:0004553;GO:0005975
Tatro_005883-T1,GO:0055114;GO:0016491
Tatro_004863-T1,GO:0055085;GO:0016020;GO:0008271;GO:0008272;GO:0016021;GO:0015116
Tatro_002753-T1,GO:0006508;GO:0004252;GO:0008236
Tatro_005484-T1,GO:0000981;GO:0005634;GO:0006355;GO:0008270
Tatro_000994-T1,GO:0003824;GO:0016831;GO:0030170;GO:0019752
Tatro_003010-T1,GO:0016491;GO:0050660;GO:0055114;GO:0016614
Tatro_010154-T1,GO:0003677;GO:0006351;GO:0005634;GO:0006355;GO:0008270;GO:0000981
Tatro_003215-T1,GO:0008026;GO:0003676;GO:0004386;GO:0005524
Tatro_000916-T1,GO:0005215;GO:0005622;GO:0006810
Tatro_009882-T1,GO:0004674;GO:0004672;GO:0006468;GO:0005524
Tatro_010869-T1,GO:0046872;GO:0003677;GO:0006351;GO:0005634;GO:0006355;GO:0008270;GO:0003676;GO:0000981
Tatro_010418-T1,GO:0016021;GO:0055085
Tatro_009101-T1,GO:0003924;GO:0005525
Tatro_005376-T1,GO:0016021;GO:0055085
Tatro_010255-T1,GO:0005515
Tatro_008159-T1,GO:0006511
Tatro_007668-T1,GO:0031177;GO:0016740;GO:0003824;GO:0016491;GO:0055114;GO:0008152
Tatro_010596-T1,GO:0016787;GO:0005515
Tatro_004279-T1,GO:0004553;GO:0005975
Tatro_007920-T1,GO:0005515
Tatro_009268-T1,GO:0005515
Tatro_003638-T1,GO:0016787
Tatro_006972-T1,GO:0005515
Tatro_005533-T1,GO:0003824;GO:0008152
Tatro_011405-T1,GO:0000981;GO:0005634;GO:0006355;GO:0008270
Tatro_001954-T1,GO:0006122;GO:0005750
Tatro_000564-T1,GO:0005515;GO:0007165;GO:0016310;GO:0016772;GO:0000160;GO:0000155
Tatro_002374-T1,GO:0003676;GO:0000166
Tatro_004685-T1,GO:0033897;GO:0003723
Tatro_005116-T1,GO:0003677;GO:0003917;GO:0006265;GO:0005694;GO:0003918
Tatro_004494-T1,GO:0005515
Tatro_006599-T1,GO:0003677;GO:0006351;GO:0005634;GO:0006355;GO:0008270;GO:0000981
Tatro_009734-T1,GO:0015035
Tatro_005286-T1,GO:0046872;GO:0003676
