WTvsR.solani_AG2_BC	WTvsR.solani_AG5_BC	WTvsA.alternata_BC	WTvsR.solani_AG2_C	WTvsR.solani_AG5_C	WTvsA.alternata_C	WTvsR.solani_AG2_AC	WTvsR.solani_AG5_AC	WTvsA.alternata_AC
Tatro_010976	Tatro_010287	Tatro_000465	Tatro_003758	Tatro_004257	Tatro_002277	Tatro_006414	Tatro_002275	Tatro_000001
Tatro_006270	Tatro_010781	Tatro_000814	Tatro_008859	Tatro_010910	Tatro_011750	Tatro_004797	Tatro_010241	Tatro_000003
Tatro_004123	Tatro_011617	Tatro_001226	Tatro_003711	Tatro_006149	Tatro_009193	Tatro_007197	Tatro_011092	Tatro_000015
Tatro_011200	Tatro_008931	Tatro_004123	Tatro_003711	Tatro_006515	Tatro_009522	Tatro_010976	Tatro_005808	Tatro_000016
Tatro_011617	Tatro_000465	Tatro_004467	Tatro_003711	Tatro_001782	Tatro_010316	Tatro_007089	Tatro_009734	Tatro_000018
Tatro_008931	Tatro_011804	Tatro_004576	Tatro_003711	Tatro_004797	Tatro_011386	Tatro_011619	Tatro_002418	Tatro_000025
Tatro_001393	Tatro_006947	Tatro_005386	Tatro_004127		Tatro_004123	Tatro_000465	Tatro_011251	Tatro_000029
Tatro_007077	Tatro_006807	Tatro_006270	Tatro_011779		Tatro_011200	Tatro_008973	Tatro_007953	Tatro_000106
Tatro_001418	Tatro_007159	Tatro_007077	Tatro_002365		Tatro_008931	Tatro_011748	Tatro_004399	Tatro_000110
Tatro_000875	Tatro_008602	Tatro_007246	Tatro_007547		Tatro_011617	Tatro_009897	Tatro_011804	Tatro_000168
Tatro_011804	Tatro_010860	Tatro_008074	Tatro_008374		Tatro_004467	Tatro_003820	Tatro_000822	Tatro_000181
Tatro_002353	Tatro_010861	Tatro_008931	Tatro_006407		Tatro_011432	Tatro_007281	Tatro_007197	Tatro_000182
Tatro_007843	Tatro_005875	Tatro_009522	Tatro_010707		Tatro_000369	Tatro_004123	Tatro_007089	Tatro_000183
Tatro_002645	Tatro_001782	Tatro_010859	Tatro_006954		Tatro_000465	Tatro_011617	Tatro_008013	Tatro_000217
Tatro_005392	Tatro_000201	Tatro_011200	Tatro_011719		Tatro_007197	Tatro_004451	Tatro_000465	Tatro_000228
Tatro_004467	Tatro_009211	Tatro_011386	Tatro_010198		Tatro_010861	Tatro_011432	Tatro_002267	Tatro_000243
Tatro_011069	Tatro_010811	Tatro_011617	Tatro_011641		Tatro_002645	Tatro_006270	Tatro_011355	Tatro_000302
Tatro_007904	Tatro_004120	Tatro_011804	Tatro_004759		Tatro_007077	Tatro_004110	Tatro_007043	Tatro_000305
Tatro_009161	Tatro_007809		Tatro_009292		Tatro_010568	Tatro_008931	Tatro_008054	Tatro_000348
Tatro_002279	Tatro_004123		Tatro_010709		Tatro_001593	Tatro_010316	Tatro_009897	Tatro_000360
Tatro_004164	Tatro_000814		Tatro_010720		Tatro_005386	Tatro_011804	Tatro_011895	Tatro_000361
Tatro_007147	Tatro_006439		Tatro_011087		Tatro_001392	Tatro_000814	Tatro_003861	Tatro_000369
Tatro_006568	Tatro_011750		Tatro_007726		Tatro_007246	Tatro_004450	Tatro_001000	Tatro_000370
Tatro_010811	Tatro_002319		Tatro_000936		Tatro_001782	Tatro_007282	Tatro_010145	Tatro_000420
Tatro_010808	Tatro_006648		Tatro_000752		Tatro_011804	Tatro_011750	Tatro_003865	Tatro_000449
Tatro_007644	Tatro_002751		Tatro_004011		Tatro_007304	Tatro_010859	Tatro_006440	Tatro_000453
Tatro_004635	Tatro_004705		Tatro_008411		Tatro_009648	Tatro_004576	Tatro_006444	Tatro_000459
Tatro_007842	Tatro_000863		Tatro_004458		Tatro_007843	Tatro_007989	Tatro_002621	Tatro_000465
