WTvsR.solani_AG2_BC	WTvsR.solani_AG5_BC	WTvsA.alternata_BC	WTvsR.solani_AG2_C	WTvsR.solani_AG5_C	WTvsA.alternata_C	WTvsR.solani_AG2_AC	WTvsR.solani_AG5_AC	WTvsA.alternata_AC
Tatro_009943	Tatro_001135	Tatro_008395	Tatro_002949	Tatro_011871	Tatro_000268	Tatro_000020	Tatro_000020	Tatro_000011
Tatro_008531	Tatro_004284	Tatro_007904	Tatro_006289	Tatro_011395	Tatro_000285	Tatro_000131	Tatro_000024	Tatro_000020
Tatro_007675	Tatro_006938	Tatro_010287	Tatro_009766	Tatro_002949	Tatro_000305	Tatro_000280	Tatro_000131	Tatro_000024
Tatro_006938	Tatro_008531	Tatro_010811	Tatro_011012	Tatro_001634	Tatro_000392	Tatro_000283	Tatro_000222	Tatro_000097
Tatro_006444	Tatro_011552	Tatro_009141	Tatro_011598	Tatro_000385	Tatro_000863	Tatro_000354	Tatro_000222	Tatro_000131
Tatro_007043	Tatro_009943	Tatro_010976	Tatro_010229	Tatro_008042	Tatro_000877	Tatro_000355	Tatro_000222	Tatro_000145
Tatro_003174	Tatro_007127	Tatro_008976	Tatro_000496	Tatro_001511	Tatro_000924	Tatro_000358	Tatro_000222	Tatro_000148
Tatro_010189	Tatro_007043	Tatro_010810	Tatro_007163	Tatro_002929	Tatro_001016	Tatro_000363	Tatro_000363	Tatro_000165
Tatro_002772	Tatro_002022	Tatro_010893	Tatro_005431	Tatro_002144	Tatro_001177	Tatro_000383	Tatro_000383	Tatro_000166
Tatro_004399	Tatro_001269	Tatro_011068	Tatro_007675	Tatro_008282	Tatro_001344	Tatro_000384	Tatro_000384	Tatro_000167
Tatro_005737	Tatro_005698	Tatro_011069	Tatro_005948	Tatro_008595	Tatro_001444	Tatro_000385	Tatro_000385	Tatro_000196
Tatro_002012	Tatro_007675	Tatro_010808	Tatro_008531	Tatro_010229	Tatro_001551	Tatro_000386	Tatro_000386	Tatro_000222
Tatro_005885	Tatro_007541	Tatro_001393	Tatro_007043	Tatro_011649	Tatro_001553	Tatro_000389	Tatro_000389	Tatro_000222
Tatro_004112	Tatro_002984	Tatro_011079	Tatro_008415	Tatro_011421	Tatro_001588	Tatro_000393	Tatro_000404	Tatro_000222
Tatro_007421	Tatro_011900	Tatro_001888	Tatro_002950	Tatro_000384	Tatro_001659	Tatro_000404	Tatro_000523	Tatro_000222
Tatro_006193	Tatro_006444	Tatro_000201	Tatro_003082	Tatro_002168	Tatro_001666	Tatro_000449	Tatro_000621	Tatro_000224
Tatro_005698	Tatro_004724	Tatro_002663	Tatro_004386	Tatro_011598	Tatro_001667	Tatro_000523	Tatro_000778	Tatro_000238
Tatro_002984	Tatro_004847	Tatro_000363	Tatro_011181	Tatro_007348	Tatro_001703	Tatro_001190	Tatro_000825	Tatro_000272
Tatro_000902	Tatro_010189	Tatro_011244	Tatro_004724	Tatro_005792	Tatro_001922	Tatro_001190	Tatro_000864	Tatro_000285
Tatro_007127	Tatro_003061	Tatro_005932	Tatro_006888	Tatro_007131	Tatro_001930	Tatro_001190	Tatro_000877	Tatro_000312
Tatro_011038	Tatro_007315	Tatro_011350	Tatro_004385	Tatro_011626	Tatro_001937	Tatro_001190	Tatro_001190	Tatro_000342
Tatro_011415	Tatro_008453	Tatro_002773	Tatro_006601	Tatro_010340	Tatro_002201	Tatro_001526	Tatro_001190	Tatro_000352
Tatro_011172	Tatro_006820	Tatro_011910	Tatro_010166	Tatro_007273	Tatro_002252	Tatro_001551	Tatro_001190	Tatro_000354
Tatro_008054	Tatro_007421	Tatro_001418	Tatro_007523	Tatro_006361	Tatro_002445	Tatro_001554	Tatro_001190	Tatro_000355
Tatro_007813	Tatro_010992		Tatro_005698	Tatro_011281	Tatro_002521	Tatro_001588	Tatro_001303	Tatro_000356
Tatro_006293	Tatro_002541		Tatro_000285	Tatro_007666	Tatro_002599	Tatro_001623	Tatro_001502	Tatro_000357
Tatro_002022	Tatro_004528		Tatro_010771	Tatro_002769	Tatro_002616	Tatro_001633	Tatro_001526	Tatro_000358
